user_id,clicks,views,group
08f90c1a417155361a5c4b8d297e0d78,1,3,A
d0fb963ff976f9c37fc81fe03c21ea7b,0,5,A
4ba29b9f9e5732ed33761840f4ba6c53,2,3,A
a591024321c5e2bdbd23ed35f0574dde,8,18,A
b8b4b727d6f5d1b61fff7be687f7970f,1,2,A
d47268e9db2e9aa3827bba3afb7ff94a,1,6,A
ea5a486c712a91e48443cd802642223d,16,56,A
a00e5eb0973d24649a4a920fc53d9564,3,13,A
ef8446f35513a8d6aa2308357a268a7e,4,9,A
f1981e4bd8a0d6d8462016d2fc6276b3,1,3,A
d7a84628c025d30f7b2c52c958767e76,1,3,A
c8758b517083196f05ac29810b924aca,1,1,A
253614bbac999b38b5b60cae531c4969,0,1,A
8038da89e49ac5eabb489cfc6cea9fc1,3,5,A
cee8d6b7ce52554fd70354e37bbf44a2,3,13,A
65d2ea03425887a717c435081cfc5dbb,0,4,A
95192c98732387165bf8e396c0f2dad2,2,8,A
8d8818c8e140c64c743113f563cf750f,0,1,A
84ddfb34126fc3a48ee38d7044e87276,4,7,A
ea6b2efbdd4255a9f1b3bbc6399b58f4,0,2,A
7b7a53e239400a13bd6be6c91c4f6c4e,0,3,A
05a5cf06982ba7892ed2a6d38fe832d6,2,4,A
3a824154b16ed7dab899bf000b80eeee,0,2,A
5531a5834816222280f20d1ef9e95f69,0,1,A
07811dc6c422334ce36a09ff5cd6fe71,0,3,A
312351bff07989769097660a56395065,2,9,A
c92a10324374fac681719d63979d00fe,4,9,A
9f62b8625f914a002496335037e9ad97,0,3,A
d860edd1dd83b36f02ce52bde626c653,7,18,A
093b60fd0557804c8ba0cbf1453da22f,1,2,A
2d579dc29360d8bbfbb4aa541de5afa9,0,2,A
88ef51f0bf911e452e8dbb1d807a81ab,1,13,A
5352696a9ca3397beb79f116f3a33991,1,3,A
a5a61717dddc3501cfdf7a4e22d7dbaa,0,1,A
d198bd736a97e7cecfdf8f4f2027ef80,2,4,A
2b0f658cbffd284984fb11d90254081f,3,9,A
f48c04ffab49ff0e5d1176244fdfb65c,1,2,A
23d2e1578544b172cca332ff74bddf5f,2,10,A
2557911c1bf75c2b643afb4ecbfc8ec2,0,2,A
a48564053b3c7b54800246348c7fa4a0,3,15,A
4c144c47ecba6f8318128703ca9e2601,0,1,A
89885ff2c83a10305ee08bd507c1049c,4,8,A
71e09b16e21f7b6919bbfc43f6a5b2f0,2,5,A
d79c6256b9bdac53a55801a066b70da3,17,52,A
d8330f857a17c53d217014ee776bfd50,0,1,A
0189caa552598b845b29b17a427692d1,1,3,A
3875115bacc48cca24ac51ee4b0e7975,7,19,A
a501bebf79d570651ff601788ea9d16d,5,17,A
051928341be67dcba03f0e04104d9047,1,11,A
06b1338ba02add2b5d2da67663b19ebe,18,48,A
aebf7782a3d445f43cf30ee2c0d84dee,4,16,A
a9813e9550fee3110373c21fa012eee7,0,2,A
584b98aac2dddf59ee2cf19ca4ccb75e,0,1,A
f3e52c300b822a8123e7ace55fe15c08,5,27,A
955cb567b6e38f4c6b3f28cc857fc38c,4,8,A
9afefc52942cb83c7c1f14b2139b09ba,0,1,A
a96d3afec184766bfeca7a9f989fc7e7,0,2,A
df4fe8a8bcd5c95cdb640aa9793bb32b,0,2,A
1359aa933b48b754a2f54adb688bfa77,1,3,A
2eace51d8f796d04991c831a07059758,0,1,A
f8c0c968632845cd133308b1a494967f,0,2,A
52dbb0686f8bd0c0c757acf716e28ec0,1,3,A
2d405b367158e3f12d7c1e31a96b3af3,3,3,A
16ba72172e6a4f1de54d11ab6967e371,1,2,A
f8bf09f5fceaea80e1f864a1b48938bf,1,1,A
0ae3f79a30234b6c45a6f7d298ba1310,0,1,A
6f4920ea25403ec77bee9efce43ea25e,2,3,A
b5f1e8fb36cd7fbeb7988e8639ac79e9,1,1,A
814a9c18f5abff398787c9cfcbf3d80c,3,13,A
325995af77a0e8b06d1204a171010b3a,0,1,A
296472c9542ad4d4788d543508116cbc,1,3,A
fb2e203234df6dee15934e448ee88971,0,1,A
07cb5f86508f146774a2fac4373a8e50,0,1,A
4b86abe48d358ecf194c56c69108433e,1,2,A
1f4fe6a4411edc2ff625888b4093e917,4,15,A
cbef46321026d8404bc3216d4774c8a9,1,1,A
6492d38d732122c58b44e3fdc3e9e9f3,0,1,A
819e3d6c1381eac87c17617e5165f38c,3,8,A
f410588e48dc83f2822a880a68f78923,2,5,A
654ad60ebd1ae29cedc37da04b6b0672,1,2,A
54ff9e9e3a2ec0300d4ce11261f5169f,0,1,A
0070d23b06b1486a538c0eaa45dd167a,1,1,A
850af92f8d9903e7a4e0559a98ecc857,4,12,A
3e9e39fed3b8369ed940f52cf300cf88,0,1,A
a088ea2078cd92b0b8a0e78a32c5c082,4,7,A
e0a209539d1e74ab9fe46b9e01a19a97,2,4,A
f80ff32e08a25270b5f252ce39522f72,15,36,A
4d6b3e38b952600251ee92fe603170ff,5,13,A
d3a7f48c12e697d50c8a7ae7684644ef,1,1,A
bf424cb7b0dea050a42b9739eb261a3a,1,3,A
26f5bd4aa64fdadf96152ca6e6408068,1,2,A
0b1ec366924b26fc98fa7b71a9c249cf,0,1,A
801272ee79cfde7fa5960571fee36b9b,0,1,A
b2ab001909a8a6f04b51920306046ce5,2,4,A
cf2226ddd41b1a2d0ae51dab54d32c36,3,17,A
2cd4e8a2ce081c3d7c32c3cde4312ef7,0,3,A
194cf6c2de8e00c05fcf16c498adc7bf,7,26,A
a03fa30821986dff10fc66647c84c9c3,0,1,A
a1d7311f2a312426d710e1c617fcbc8c,1,1,A
978d76676f5e7918f81d28e7d092ca0d,0,3,A
2cad8fa47bbef282badbb8de5374b894,0,2,A
c5866e93cab1776890fe343c9e7063fb,1,10,A
8232e119d8f59aa83050a741631803a6,1,4,A
7b1ce3d73b70f1a7246e7b76a35fb552,1,1,A
e7e23670481ac78b3c4122a99ba60573,0,1,A
24f0d2c90473b2bc949ad962e61d9bcb,3,15,A
c6335734dbc0b1ded766421cfc611750,2,3,A
9185f3ec501c674c7c788464a36e7fb3,1,3,A
931af583573227f0220bc568c65ce104,0,1,A
05546b0e38ab9175cd905eebcc6ebb76,3,16,A
c3535febaff29fcb7c0d20cbe94391c7,0,3,A
1a0a283bfe7c549dee6c638a05200e32,1,3,A
a29d1598024f9e87beab4b98411d48ce,4,4,A
01931a6925d3de09e5f87419d9d55055,0,2,A
51174add1c52758f33d414ceaf3fe6ba,5,12,A
bdc4626aa1d1df8e14d80d345b2a442d,5,5,A
4ba3c163cd1efd4c14e3a415fa0a3010,1,1,A
3937230de3c8041e4da6ac3246a888e8,0,1,A
92bbd31f8e0e43a7da8a6295b251725f,1,2,A
1b5230e3ea6d7123847ad55a1e06fffd,0,1,A
44cd7a8f7f9f85129b9953950665064d,1,6,A
02b1be0d48924c327124732726097157,0,2,A
abdbeb4d8dbe30df8430a8394b7218ef,2,8,A
5a1e3a5aede16d438c38862cac1a78db,0,1,A
ef41d488755367316f04fc0e0e9dc9fc,0,3,A
a012869311d64a44b5a0d567cd20de04,0,1,A
3b92d18aa7a6176dd37d372bc2f1eb71,0,1,A
5227b6aaf294f5f027273aebf16015f2,3,9,A
bd5af7cd922fd2603be4ee3dc43b0b77,16,52,A
cd4bb35c75ba84b4f39e547b1416fd35,3,12,A
f15d337c70078947cfe1b5d6f0ed3f13,2,3,A
a869ccbcbd9568808b8497e28275c7c8,4,13,A
f6e794a75c5d51de081dbefa224304f9,1,2,A
c902b497eb972281fb5b4e206db38ee6,1,1,A
fca0789e7891cbc0583298a238316122,3,22,A
9a49a25d845a483fae4be7e341368e36,1,2,A
