ds,y
1986-01-01,96.854
1986-04-01,70.378
1986-07-01,71.092
1986-10-01,88.156
1987-01-01,96.221
1987-04-01,70.218
1987-07-01,75.966
1987-10-01,78.658
1988-01-01,83.735
1988-04-01,69.576
1988-07-01,80.362
1988-10-01,94.803
1989-01-01,88.344
1989-04-01,59.685
1989-07-01,68.111
1989-10-01,68.189
1990-01-01,76.702
1990-04-01,66.247
1990-07-01,78.095
1990-10-01,58.035
1991-01-01,97.607
1991-04-01,71.024
1991-07-01,59.048
1991-10-01,82.601
1992-01-01,74.018
1992-04-01,62.777
1992-07-01,84.021
1992-10-01,77.908
1993-01-01,100.091
1993-04-01,85.523
1993-07-01,72.188
1993-10-01,86.15
1994-01-01,96.971
1994-04-01,94.424
1994-07-01,70.289
1994-10-01,81.319
1995-01-01,94.998
1995-04-01,77.106
1995-07-01,67.683
1995-10-01,79.468
1996-01-01,77.32
1996-04-01,78.885
1996-07-01,82.414
1996-10-01,87.287
1997-01-01,99.304
1997-04-01,70.259
1997-07-01,56.458
1997-10-01,83.379
1998-01-01,88.766
1998-04-01,91.336
1998-07-01,57.215
1998-10-01,86.541
1999-01-01,88.693
1999-04-01,65.145
1999-07-01,77.695
1999-10-01,80.345
2000-01-01,89.382
2000-04-01,66.885
2000-07-01,68.459
2000-10-01,61.679
2001-01-01,108.152
2001-04-01,89.583
