ds,y
1986-01-01,391.523
1986-04-01,205.468
1986-07-01,147.099
1986-10-01,228.024
1987-01-01,320.416
1987-04-01,218.443
1987-07-01,131.267
1987-10-01,207.572
1988-01-01,336.92
1988-04-01,209.893
1988-07-01,126.793
1988-10-01,196.48
1989-01-01,326.118
1989-04-01,233.166
1989-07-01,148.036
1989-10-01,213.054
1990-01-01,326.483
1990-04-01,216.518
1990-07-01,129.337
1990-10-01,243.806
1991-01-01,331.591
1991-04-01,183.492
1991-07-01,133.935
1991-10-01,218.495
1992-01-01,334.885
1992-04-01,171.286
1992-07-01,137.938
1992-10-01,189.767
1993-01-01,338.435
1993-04-01,154.625
1993-07-01,142.339
1993-10-01,155.886
1994-01-01,346.535
1994-04-01,172.522
1994-07-01,124.845
1994-10-01,210.419
1995-01-01,270.51
1995-04-01,181.448
1995-07-01,120.462
1995-10-01,178.098
1996-01-01,346.929
1996-04-01,184.336
1996-07-01,132.256
1996-10-01,181.623
1997-01-01,298.128
1997-04-01,176.145
1997-07-01,122.077
1997-10-01,203.323
1998-01-01,309.165
1998-04-01,146.38
1998-07-01,114.773
1998-10-01,152.507
1999-01-01,317.34
1999-04-01,174.565
1999-07-01,142.289
1999-10-01,155.87
2000-01-01,265.458
2000-04-01,174.498
2000-07-01,124.818
2000-10-01,198.071
2001-01-01,321.005
2001-04-01,187.425
2001-07-01,166.104
2001-10-01,205.374
2002-01-01,265.324
2002-04-01,199.724
2002-07-01,141.802
2002-10-01,213.736
2003-01-01,311.256
2003-04-01,203.278
