ds,y
2013-01-01,16.931
2013-04-01,32.016
2013-07-01,36.468
2013-10-01,13.206
2014-01-01,12.408
2014-04-01,41.302
2014-07-01,33.017
2014-10-01,23.806
2015-01-01,13.095
2015-04-01,20.413
2015-07-01,35.453
2015-10-01,25.353
2016-01-01,2.775
2016-04-01,17.922
2016-07-01,46.412
2016-10-01,16.224
2017-01-01,12.709
2017-04-01,22.466
2017-07-01,30.403
2017-10-01,21.159
2018-01-01,8.705
2018-04-01,32.31
2018-07-01,37.705
2018-10-01,5.394
2019-01-01,15.3
2019-04-01,19.624
2019-07-01,24.394
2019-10-01,27.767
2020-01-01,12.833
2020-04-01,21.388
2020-07-01,45.945
2020-10-01,25.882
2021-01-01,16.587
2021-04-01,25.794
2021-07-01,25.264
2021-10-01,20.702
2022-01-01,5.756
2022-04-01,31.081
2022-07-01,41.909
2022-10-01,12.345
2023-01-01,9.453
2023-04-01,11.841
2023-07-01,43.43
2023-10-01,14.324
2024-01-01,3.373
2024-04-01,20.284
2024-07-01,47.99
2024-10-01,17.575
2025-01-01,8.795
2025-04-01,20.466
2025-07-01,31.624
2025-10-01,18.168
2026-01-01,4.947
2026-04-01,19.85
2026-07-01,29.338
2026-10-01,23.334
2027-01-01,10.921
2027-04-01,45.1
