ds,y
1991-01-01,11.988
1991-04-01,8.107
1991-07-01,7.894
1991-10-01,6.941
1992-01-01,5.32
1992-04-01,11.204
1992-07-01,5.898
1992-10-01,9.223
1993-01-01,11.594
1993-04-01,16.628
1993-07-01,8.286
1993-10-01,9.726
1994-01-01,7.566
1994-04-01,13.353
1994-07-01,11.242
1994-10-01,11.555
1995-01-01,8.543
1995-04-01,7.529
1995-07-01,10.443
1995-10-01,9.008
1996-01-01,8.24
1996-04-01,13.22
1996-07-01,9.129
1996-10-01,8.899
1997-01-01,8.691
1997-04-01,11.508
1997-07-01,12.164
1997-10-01,11.836
1998-01-01,10.226
1998-04-01,10.125
1998-07-01,6.571
1998-10-01,11.463
1999-01-01,10.319
1999-04-01,11.389
1999-07-01,11.251
1999-10-01,8.587
2000-01-01,8.481
2000-04-01,10.268
2000-07-01,11.315
2000-10-01,10.63
2001-01-01,9.011
2001-04-01,7.716
2001-07-01,9.543
2001-10-01,9.059
2002-01-01,10.693
2002-04-01,10.771
2002-07-01,11.517
2002-10-01,8.623
2003-01-01,8.989
2003-04-01,11.449
2003-07-01,10.9
2003-10-01,11.36
2004-01-01,14.402
2004-04-01,11.631
2004-07-01,12.716
2004-10-01,11.898
2005-01-01,11.958
2005-04-01,18.1
2005-07-01,13.728
2005-10-01,8.673
2006-01-01,10.84
2006-04-01,10.772
2006-07-01,16.344
2006-10-01,20.894
2007-01-01,14.659
2007-04-01,16.974
