ds,y
1995-01-01,4.366
1995-04-01,4.657
1995-07-01,4.167
1995-10-01,3.404
1996-01-01,4.166
1996-04-01,2.918
1996-07-01,4.107
1996-10-01,5.161
1997-01-01,0.565
1997-04-01,1.922
1997-07-01,5.018
1997-10-01,10.017
1998-01-01,0.467
1998-04-01,7.055
1998-07-01,4.495
1998-10-01,5.296
1999-01-01,2.714
1999-04-01,0.536
1999-07-01,3.079
1999-10-01,3.122
2000-01-01,2.061
2000-04-01,1.822
2000-07-01,3.034
2000-10-01,2.123
2001-01-01,2.246
2001-04-01,6.1
2001-07-01,3.305
2001-10-01,2.958
2002-01-01,3.597
2002-04-01,6.105
2002-07-01,1.755
2002-10-01,2.454
2003-01-01,0.5
2003-04-01,0.914
2003-07-01,3.453
2003-10-01,2.072
2004-01-01,2.436
2004-04-01,3.631
2004-07-01,2.682
2004-10-01,1.218
2005-01-01,4.459
2005-04-01,1.631
2005-07-01,3.097
2005-10-01,1.868
2006-01-01,4.543
2006-04-01,2.944
2006-07-01,4.057
2006-10-01,2.791
2007-01-01,2.379
2007-04-01,2.569
2007-07-01,3.368
2007-10-01,5.101
2008-01-01,0.556
2008-04-01,2.568
2008-07-01,5.357
2008-10-01,5.072
2009-01-01,3.083
2009-04-01,3.505
