user_id,order_id,action,time
7,7,cancel_order,2022-08-24 14:06:00
13,13,cancel_order,2022-08-24 16:45:00
40,40,cancel_order,2022-08-24 19:25:00
52,52,cancel_order,2022-08-24 20:15:00
64,64,cancel_order,2022-08-24 20:39:00
78,79,cancel_order,2022-08-24 21:25:00
89,90,cancel_order,2022-08-24 21:54:00
132,143,cancel_order,2022-08-24 23:52:00
144,156,cancel_order,2022-08-25 00:21:00
165,183,cancel_order,2022-08-25 00:52:00
172,190,cancel_order,2022-08-25 00:59:00
259,298,cancel_order,2022-08-25 04:36:00
268,310,cancel_order,2022-08-25 05:08:00
283,326,cancel_order,2022-08-25 05:48:00
293,336,cancel_order,2022-08-25 06:12:00
294,338,cancel_order,2022-08-25 06:13:00
390,451,cancel_order,2022-08-25 09:34:00
392,454,cancel_order,2022-08-25 09:41:00
137,456,cancel_order,2022-08-25 09:42:00
394,457,cancel_order,2022-08-25 09:43:00
395,458,cancel_order,2022-08-25 09:49:00
416,484,cancel_order,2022-08-25 10:08:00
439,512,cancel_order,2022-08-25 10:45:00
191,534,cancel_order,2022-08-25 11:08:00
466,547,cancel_order,2022-08-25 11:31:00
488,600,cancel_order,2022-08-25 12:25:00
141,610,cancel_order,2022-08-25 12:34:00
528,628,cancel_order,2022-08-25 12:53:00
534,640,cancel_order,2022-08-25 13:12:00
597,723,cancel_order,2022-08-25 14:47:00
603,731,cancel_order,2022-08-25 14:51:00
629,762,cancel_order,2022-08-25 15:30:00
637,774,cancel_order,2022-08-25 15:47:00
644,782,cancel_order,2022-08-25 15:54:00
650,792,cancel_order,2022-08-25 16:07:00
660,806,cancel_order,2022-08-25 16:23:00
667,814,cancel_order,2022-08-25 16:28:00
714,872,cancel_order,2022-08-25 17:32:00
754,931,cancel_order,2022-08-25 18:34:00
755,932,cancel_order,2022-08-25 18:38:00
761,940,cancel_order,2022-08-25 18:48:00
773,955,cancel_order,2022-08-25 18:58:00
774,956,cancel_order,2022-08-25 19:00:00
800,999,cancel_order,2022-08-25 19:37:00
803,1007,cancel_order,2022-08-25 19:40:00
155,1019,cancel_order,2022-08-25 19:50:00
815,1026,cancel_order,2022-08-25 19:58:00
824,1039,cancel_order,2022-08-25 20:10:00
838,1055,cancel_order,2022-08-25 20:26:00
844,1064,cancel_order,2022-08-25 20:34:00
847,1068,cancel_order,2022-08-25 20:37:00
858,1086,cancel_order,2022-08-25 20:57:00
218,1116,cancel_order,2022-08-25 21:24:00
878,1124,cancel_order,2022-08-25 21:30:00
274,1158,cancel_order,2022-08-25 22:14:00
607,1218,cancel_order,2022-08-25 23:25:00
414,1232,cancel_order,2022-08-25 23:39:00
966,1258,cancel_order,2022-08-26 00:08:00
993,1296,cancel_order,2022-08-26 00:44:00
995,1298,cancel_order,2022-08-26 00:49:00
1002,1308,cancel_order,2022-08-26 00:58:00
1008,1315,cancel_order,2022-08-26 01:06:00
1010,1319,cancel_order,2022-08-26 01:09:00
1022,1335,cancel_order,2022-08-26 01:28:00
1028,1344,cancel_order,2022-08-26 01:41:00
1044,1366,cancel_order,2022-08-26 02:09:00
1045,1367,cancel_order,2022-08-26 02:10:00
1049,1371,cancel_order,2022-08-26 02:19:00
1074,1406,cancel_order,2022-08-26 03:11:00
1081,1413,cancel_order,2022-08-26 03:36:00
1085,1417,cancel_order,2022-08-26 03:38:00
1091,1427,cancel_order,2022-08-26 04:15:00
581,1481,cancel_order,2022-08-26 05:52:00
1150,1507,cancel_order,2022-08-26 06:25:00
1152,1509,cancel_order,2022-08-26 06:29:00
1165,1536,cancel_order,2022-08-26 07:05:00
1171,1544,cancel_order,2022-08-26 07:09:00
1068,1606,cancel_order,2022-08-26 08:23:00
1220,1610,cancel_order,2022-08-26 08:25:00
1222,1612,cancel_order,2022-08-26 08:35:00
1229,1620,cancel_order,2022-08-26 08:50:00
1231,1623,cancel_order,2022-08-26 08:54:00
1237,1632,cancel_order,2022-08-26 09:04:00
839,1652,cancel_order,2022-08-26 09:24:00
882,1656,cancel_order,2022-08-26 09:27:00
20,1671,cancel_order,2022-08-26 09:40:00
1288,1703,cancel_order,2022-08-26 10:10:00
1227,1707,cancel_order,2022-08-26 10:10:00
1301,1723,cancel_order,2022-08-26 10:27:00
1305,1729,cancel_order,2022-08-26 10:32:00
1307,1733,cancel_order,2022-08-26 10:33:00
1355,1799,cancel_order,2022-08-26 11:30:00
1356,1800,cancel_order,2022-08-26 11:33:00
1360,1805,cancel_order,2022-08-26 11:38:00
1372,1820,cancel_order,2022-08-26 11:56:00
1262,1821,cancel_order,2022-08-26 11:57:00
1377,1827,cancel_order,2022-08-26 11:59:00
1382,1832,cancel_order,2022-08-26 12:01:00
1343,1870,cancel_order,2022-08-26 12:27:00
42,1998,cancel_order,2022-08-26 14:38:00
450,2032,cancel_order,2022-08-26 15:06:00
335,2047,cancel_order,2022-08-26 15:22:00
1564,2089,cancel_order,2022-08-26 15:56:00
1574,2101,cancel_order,2022-08-26 16:05:00
1576,2105,cancel_order,2022-08-26 16:07:00
1578,2108,cancel_order,2022-08-26 16:11:00
335,2111,cancel_order,2022-08-26 16:15:00
1595,2135,cancel_order,2022-08-26 16:39:00
801,2170,cancel_order,2022-08-26 17:12:00
1624,2182,cancel_order,2022-08-26 17:20:00
401,2189,cancel_order,2022-08-26 17:25:00
1628,2190,cancel_order,2022-08-26 17:27:00
1641,2209,cancel_order,2022-08-26 17:39:00
1193,2253,cancel_order,2022-08-26 18:10:00
1372,2275,cancel_order,2022-08-26 18:26:00
1703,2310,cancel_order,2022-08-26 18:49:00
1705,2313,cancel_order,2022-08-26 18:53:00
1706,2314,cancel_order,2022-08-26 18:54:00
1722,2339,cancel_order,2022-08-26 19:07:00
1730,2351,cancel_order,2022-08-26 19:12:00
609,2353,cancel_order,2022-08-26 19:15:00
519,2383,cancel_order,2022-08-26 19:31:00
1000,2402,cancel_order,2022-08-26 19:41:00
1809,2472,cancel_order,2022-08-26 20:36:00
14,2473,cancel_order,2022-08-26 20:36:00
1814,2483,cancel_order,2022-08-26 20:44:00
1457,2512,cancel_order,2022-08-26 21:00:00
1833,2513,cancel_order,2022-08-26 21:01:00
109,2533,cancel_order,2022-08-26 21:17:00
1857,2553,cancel_order,2022-08-26 21:24:00
1130,2561,cancel_order,2022-08-26 21:28:00
191,2565,cancel_order,2022-08-26 21:33:00
1875,2584,cancel_order,2022-08-26 21:45:00
1900,2628,cancel_order,2022-08-26 22:10:00
1922,2666,cancel_order,2022-08-26 22:32:00
1102,2674,cancel_order,2022-08-26 22:40:00
1935,2691,cancel_order,2022-08-26 22:46:00
1939,2699,cancel_order,2022-08-26 22:56:00
1958,2731,cancel_order,2022-08-26 23:20:00
1991,2799,cancel_order,2022-08-27 00:14:00
1673,2817,cancel_order,2022-08-27 00:21:00
2010,2828,cancel_order,2022-08-27 00:28:00
2026,2856,cancel_order,2022-08-27 00:45:00
2046,2885,cancel_order,2022-08-27 01:01:00
2050,2889,cancel_order,2022-08-27 01:06:00
2053,2897,cancel_order,2022-08-27 01:12:00
2055,2900,cancel_order,2022-08-27 01:12:00
2073,2927,cancel_order,2022-08-27 01:32:00
2073,2926,cancel_order,2022-08-27 01:33:00
2075,2930,cancel_order,2022-08-27 01:34:00
2096,2967,cancel_order,2022-08-27 02:02:00
101,2986,cancel_order,2022-08-27 02:14:00
