ds,unique_id,y,Holiday
2012-01-01 0:00:00,Demand,4382.825174,TRUE
2012-01-01 0:30:00,Demand,4263.365526,TRUE
2012-01-01 1:00:00,Demand,4048.966046,TRUE
2012-01-01 1:30:00,Demand,3877.56333,TRUE
2012-01-01 2:00:00,Demand,4036.229746,TRUE
2012-01-01 2:30:00,Demand,3865.597244,TRUE
2012-01-01 3:00:00,Demand,3694.097664,TRUE
2012-01-01 3:30:00,Demand,3561.623686,TRUE
2012-01-01 4:00:00,Demand,3433.035352,TRUE
2012-01-01 4:30:00,Demand,3359.468,TRUE
2012-01-01 5:00:00,Demand,3331.343274,TRUE
2012-01-01 5:30:00,Demand,3304.641186,TRUE
2012-01-01 6:00:00,Demand,3272.106404,TRUE
2012-01-01 6:30:00,Demand,3275.99806,TRUE
2012-01-01 7:00:00,Demand,3370.42409,TRUE
2012-01-01 7:30:00,Demand,3494.418154,TRUE
2012-01-01 8:00:00,Demand,3580.091164,TRUE
2012-01-01 8:30:00,Demand,3719.985142,TRUE
2012-01-01 9:00:00,Demand,3909.300738,TRUE
2012-01-01 9:30:00,Demand,4092.566212,TRUE
2012-01-01 10:00:00,Demand,4245.024938,TRUE
2012-01-01 10:30:00,Demand,4413.074788,TRUE
2012-01-01 11:00:00,Demand,4599.507418,TRUE
2012-01-01 11:30:00,Demand,4772.133542,TRUE
2012-01-01 12:00:00,Demand,4938.79574,TRUE
2012-01-01 12:30:00,Demand,5080.138254,TRUE
2012-01-01 13:00:00,Demand,5211.915476,TRUE
2012-01-01 13:30:00,Demand,5328.31718,TRUE
2012-01-01 14:00:00,Demand,5436.420076,TRUE
2012-01-01 14:30:00,Demand,5538.356502,TRUE
2012-01-01 15:00:00,Demand,5641.188556,TRUE
2012-01-01 15:30:00,Demand,5737.303578,TRUE
2012-01-01 16:00:00,Demand,5831.138192,TRUE
2012-01-01 16:30:00,Demand,5935.794824,TRUE
2012-01-01 17:00:00,Demand,5999.870792,TRUE
2012-01-01 17:30:00,Demand,6071.191688,TRUE
2012-01-01 18:00:00,Demand,6082.502946,TRUE
2012-01-01 18:30:00,Demand,6005.434908,TRUE
2012-01-01 19:00:00,Demand,5890.774506,TRUE
2012-01-01 19:30:00,Demand,5709.07195,TRUE
2012-01-01 20:00:00,Demand,5529.864864,TRUE
2012-01-01 20:30:00,Demand,5395.439534,TRUE
2012-01-01 21:00:00,Demand,5368.114986,TRUE
2012-01-01 21:30:00,Demand,5236.609354,TRUE
2012-01-01 22:00:00,Demand,4992.28282,TRUE
2012-01-01 22:30:00,Demand,4728.466002,TRUE
2012-01-01 23:00:00,Demand,4515.15537,TRUE
2012-01-01 23:30:00,Demand,4330.376528,TRUE
2012-01-02 0:00:00,Demand,4367.914468,TRUE
2012-01-02 0:30:00,Demand,4164.015958,TRUE
2012-01-02 1:00:00,Demand,3898.239882,TRUE
2012-01-02 1:30:00,Demand,3752.016756,TRUE
2012-01-02 2:00:00,Demand,3941.369156,TRUE
2012-01-02 2:30:00,Demand,3776.118154,TRUE
2012-01-02 3:00:00,Demand,3601.350916,TRUE
2012-01-02 3:30:00,Demand,3490.138704,TRUE
2012-01-02 4:00:00,Demand,3433.902124,TRUE
2012-01-02 4:30:00,Demand,3416.64658,TRUE
2012-01-02 5:00:00,Demand,3437.95793,TRUE
2012-01-02 5:30:00,Demand,3430.715412,TRUE
2012-01-02 6:00:00,Demand,3488.721382,TRUE
2012-01-02 6:30:00,Demand,3572.151288,TRUE
2012-01-02 7:00:00,Demand,3746.740622,TRUE
2012-01-02 7:30:00,Demand,3936.300246,TRUE
2012-01-02 8:00:00,Demand,4097.803516,TRUE
2012-01-02 8:30:00,Demand,4328.535242,TRUE
2012-01-02 9:00:00,Demand,4600.146478,TRUE
2012-01-02 9:30:00,Demand,4865.516228,TRUE
