unique_id,ds,y
AAPL_Open,2014-01-02,79.382858
AAPL_Open,2014-01-03,78.980003
AAPL_Open,2014-01-06,76.778572
AAPL_Open,2014-01-07,77.760002
AAPL_Open,2014-01-08,76.972855
AAPL_Open,2014-01-09,78.114288
AAPL_Open,2014-01-10,77.118568
AAPL_Open,2014-01-13,75.701431
AAPL_Open,2014-01-14,76.888573
AAPL_Open,2014-01-15,79.074287
AAPL_Open,2014-01-16,79.271431
AAPL_Open,2014-01-17,78.78286
AAPL_Open,2014-01-21,77.284286
AAPL_Open,2014-01-22,78.701431
AAPL_Open,2014-01-23,78.562859
AAPL_Open,2014-01-24,79.14286
AAPL_Open,2014-01-27,78.581429
AAPL_Open,2014-01-28,72.68
AAPL_Open,2014-01-29,71.992859
AAPL_Open,2014-01-30,71.791428
AAPL_Open,2014-01-31,70.739998
AAPL_Open,2014-02-03,71.80143
AAPL_Open,2014-02-04,72.264282
AAPL_Open,2014-02-05,72.365715
AAPL_Open,2014-02-06,72.865715
AAPL_Open,2014-02-07,74.482857
AAPL_Open,2014-02-10,74.094284
AAPL_Open,2014-02-11,75.80143
AAPL_Open,2014-02-12,76.707146
AAPL_Open,2014-02-13,76.379997
AAPL_Open,2014-02-14,77.495712
AAPL_Open,2014-02-18,78
AAPL_Open,2014-02-19,77.821426
AAPL_Open,2014-02-20,76.141426
AAPL_Open,2014-02-21,76.112854
AAPL_Open,2014-02-24,74.735718
AAPL_Open,2014-02-25,75.625717
AAPL_Open,2014-02-26,74.80143
AAPL_Open,2014-02-27,73.877144
AAPL_Open,2014-02-28,75.582855
AAPL_Open,2014-03-03,74.774284
AAPL_Open,2014-03-04,75.85714
AAPL_Open,2014-03-05,75.845711
AAPL_Open,2014-03-06,76.112854
AAPL_Open,2014-03-07,75.870003
AAPL_Open,2014-03-10,75.480003
AAPL_Open,2014-03-11,76.492859
AAPL_Open,2014-03-12,76.358574
AAPL_Open,2014-03-13,76.777145
AAPL_Open,2014-03-14,75.541428
AAPL_Open,2014-03-17,75.385712
AAPL_Open,2014-03-18,75.128571
AAPL_Open,2014-03-19,76.03714
AAPL_Open,2014-03-20,75.69857
AAPL_Open,2014-03-21,75.989998
AAPL_Open,2014-03-24,76.917145
AAPL_Open,2014-03-25,77.35714
AAPL_Open,2014-03-26,78.074287
AAPL_Open,2014-03-27,77.145714
AAPL_Open,2014-03-28,76.902855
AAPL_Open,2014-03-31,77.03286
AAPL_Open,2014-04-01,76.822861
AAPL_Open,2014-04-02,77.482857
AAPL_Open,2014-04-03,77.341431
AAPL_Open,2014-04-04,77.115715
AAPL_Open,2014-04-07,75.431427
AAPL_Open,2014-04-08,75.027145
AAPL_Open,2014-04-09,74.662857
AAPL_Open,2014-04-10,75.811432
AAPL_Open,2014-04-11,74.14286
AAPL_Open,2014-04-14,74.557144
AAPL_Open,2014-04-15,74.324287
AAPL_Open,2014-04-16,74.007141
AAPL_Open,2014-04-17,74.285713
AAPL_Open,2014-04-21,75.048569
AAPL_Open,2014-04-22,75.472855
AAPL_Open,2014-04-23,75.580002
AAPL_Open,2014-04-24,81.172859
AAPL_Open,2014-04-25,80.647141
AAPL_Open,2014-04-28,81.828575
AAPL_Open,2014-04-29,84.82
AAPL_Open,2014-04-30,84.662857
AAPL_Open,2014-05-01,84.571426
AAPL_Open,2014-05-02,84.620003
AAPL_Open,2014-05-05,84.305717
AAPL_Open,2014-05-06,85.971428
AAPL_Open,2014-05-07,85.035713
AAPL_Open,2014-05-08,84.035713
AAPL_Open,2014-05-09,83.505714
AAPL_Open,2014-05-12,83.927139
AAPL_Open,2014-05-13,84.571426
AAPL_Open,2014-05-14,84.632858
AAPL_Open,2014-05-15,84.957146
AAPL_Open,2014-05-16,84.089996
AAPL_Open,2014-05-19,85.407143
AAPL_Open,2014-05-20,86.358574
AAPL_Open,2014-05-21,86.261429
AAPL_Open,2014-05-22,86.657143
AAPL_Open,2014-05-23,86.75
AAPL_Open,2014-05-27,87.982857
AAPL_Open,2014-05-28,89.431427
AAPL_Open,2014-05-29,89.692856
AAPL_Open,2014-05-30,91.139999
AAPL_Open,2014-06-02,90.565712
AAPL_Open,2014-06-03,89.779999
AAPL_Open,2014-06-04,91.062859
AAPL_Open,2014-06-05,92.314285
AAPL_Open,2014-06-06,92.842857
AAPL_Open,2014-06-09,92.699997
AAPL_Open,2014-06-10,94.730003
AAPL_Open,2014-06-11,94.129997
AAPL_Open,2014-06-12,94.040001
AAPL_Open,2014-06-13,92.199997
AAPL_Open,2014-06-16,91.510002
AAPL_Open,2014-06-17,92.309998
AAPL_Open,2014-06-18,92.269997
AAPL_Open,2014-06-19,92.290001
AAPL_Open,2014-06-20,91.849998
AAPL_Open,2014-06-23,91.32
AAPL_Open,2014-06-24,90.75
AAPL_Open,2014-06-25,90.209999
AAPL_Open,2014-06-26,90.370003
AAPL_Open,2014-06-27,90.82
AAPL_Open,2014-06-30,92.099998
AAPL_Open,2014-07-01,93.519997
AAPL_Open,2014-07-02,93.870003
AAPL_Open,2014-07-03,93.669998
AAPL_Open,2014-07-07,94.139999
AAPL_Open,2014-07-08,96.269997
AAPL_Open,2014-07-09,95.440002
AAPL_Open,2014-07-10,93.760002
AAPL_Open,2014-07-11,95.360001
AAPL_Open,2014-07-14,95.860001
AAPL_Open,2014-07-15,96.800003
AAPL_Open,2014-07-16,96.970001
AAPL_Open,2014-07-17,95.029999
AAPL_Open,2014-07-18,93.620003
AAPL_Open,2014-07-21,94.989998
AAPL_Open,2014-07-22,94.68
AAPL_Open,2014-07-23,95.419998
AAPL_Open,2014-07-24,97.040001
AAPL_Open,2014-07-25,96.849998
AAPL_Open,2014-07-28,97.82
AAPL_Open,2014-07-29,99.330002
AAPL_Open,2014-07-30,98.440002
AAPL_Open,2014-07-31,97.160004
AAPL_Open,2014-08-01,94.900002
AAPL_Open,2014-08-04,96.370003
AAPL_Open,2014-08-05,95.360001
AAPL_Open,2014-08-06,94.75
AAPL_Open,2014-08-07,94.93
AAPL_Open,2014-08-08,94.260002
AAPL_Open,2014-08-11,95.269997
AAPL_Open,2014-08-12,96.040001
AAPL_Open,2014-08-13,96.150002
AAPL_Open,2014-08-14,97.330002
AAPL_Open,2014-08-15,97.900002
AAPL_Open,2014-08-18,98.489998
AAPL_Open,2014-08-19,99.410004
AAPL_Open,2014-08-20,100.440002
AAPL_Open,2014-08-21,100.57
AAPL_Open,2014-08-22,100.290001
AAPL_Open,2014-08-25,101.790001
AAPL_Open,2014-08-26,101.419998
AAPL_Open,2014-08-27,101.019997
AAPL_Open,2014-08-28,101.589996
AAPL_Open,2014-08-29,102.860001
AAPL_Open,2014-09-02,103.059998
AAPL_Open,2014-09-03,103.099998
AAPL_Open,2014-09-04,98.849998
AAPL_Open,2014-09-05,98.800003
AAPL_Open,2014-09-08,99.300003
AAPL_Open,2014-09-09,99.080002
AAPL_Open,2014-09-10,98.010002
AAPL_Open,2014-09-11,100.410004
AAPL_Open,2014-09-12,101.209999
AAPL_Open,2014-09-15,102.809998
AAPL_Open,2014-09-16,99.800003
AAPL_Open,2014-09-17,101.269997
AAPL_Open,2014-09-18,101.93
AAPL_Open,2014-09-19,102.290001
AAPL_Open,2014-09-22,101.800003
AAPL_Open,2014-09-23,100.599998
AAPL_Open,2014-09-24,102.160004
AAPL_Open,2014-09-25,100.510002
AAPL_Open,2014-09-26,98.529999
AAPL_Open,2014-09-29,98.650002
AAPL_Open,2014-09-30,100.809998
AAPL_Open,2014-10-01,100.589996
AAPL_Open,2014-10-02,99.269997
AAPL_Open,2014-10-03,99.440002
AAPL_Open,2014-10-06,99.949997
AAPL_Open,2014-10-07,99.43
AAPL_Open,2014-10-08,98.760002
AAPL_Open,2014-10-09,101.540001
AAPL_Open,2014-10-10,100.690002
AAPL_Open,2014-10-13,101.330002
AAPL_Open,2014-10-14,100.389999
AAPL_Open,2014-10-15,97.970001
AAPL_Open,2014-10-16,95.550003
AAPL_Open,2014-10-17,97.5
AAPL_Open,2014-10-20,98.32
AAPL_Open,2014-10-21,103.019997
AAPL_Open,2014-10-22,102.839996
AAPL_Open,2014-10-23,104.080002
AAPL_Open,2014-10-24,105.18
AAPL_Open,2014-10-27,104.849998
AAPL_Open,2014-10-28,105.400002
AAPL_Open,2014-10-29,106.650002
AAPL_Open,2014-10-30,106.959999
AAPL_Open,2014-10-31,108.010002
AAPL_Open,2014-11-03,108.220001
AAPL_Open,2014-11-04,109.360001
AAPL_Open,2014-11-05,109.099998
AAPL_Open,2014-11-06,108.599998
AAPL_Open,2014-11-07,108.75
AAPL_Open,2014-11-10,109.019997
AAPL_Open,2014-11-11,108.699997
AAPL_Open,2014-11-12,109.379997
AAPL_Open,2014-11-13,111.800003
AAPL_Open,2014-11-14,113.150002
AAPL_Open,2014-11-17,114.269997
AAPL_Open,2014-11-18,113.940002
AAPL_Open,2014-11-19,115.440002
AAPL_Open,2014-11-20,114.910004
AAPL_Open,2014-11-21,117.510002
AAPL_Open,2014-11-24,116.849998
AAPL_Open,2014-11-25,119.07
AAPL_Open,2014-11-26,117.940002
AAPL_Open,2014-11-28,119.269997
AAPL_Open,2014-12-01,118.809998
AAPL_Open,2014-12-02,113.5
AAPL_Open,2014-12-03,115.75
AAPL_Open,2014-12-04,115.769997
AAPL_Open,2014-12-05,115.989998
AAPL_Open,2014-12-08,114.099998
AAPL_Open,2014-12-09,110.190002
AAPL_Open,2014-12-10,114.410004
